name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Поволжский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюста России) в г. Саратове","Поволжский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюста России) в г. Саратове","university","Саратов","Саратов","https://saratov2.rpa-mu.ru/","pksarrpa@yandex.ru","+7 (8452) 57-47-46, +7 (8452) 57-47-42, +7 (986) 983-39-12","","","","","г. Саратов, ул. им. Радищева А.Н., д. 55","https://saratov.postupi.online/vuz/pi-vguyu/","2026-07-09T06:48:45.355Z"
"Поволжский институт управления имени П. А. Столыпина - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","Поволжский институт управления имени П. А. Столыпина - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","university","Саратов","Саратов","https://piu.ranepa.ru/","priem-piu@ranepa.ru","8 (800) 234-84-64, +7 (8452) 65-34-92","","","","","г. Саратов, ул. Московская, д. 164","https://saratov.postupi.online/vuz/povolzhskiy-institut-upravleniya-imeni-p-a-stolypina-filial-ranhigs/","2026-07-09T06:48:45.355Z"
"Саратовская православная духовная семинария Саратовской Епархии Русской Православной Церкви","Саратовская православная духовная семинария Саратовской Епархии Русской Православной Церкви","university","Саратов","Саратов","https://www.сарпдс.рф/","sarsemi@mail.ru","+7 (8452) 49-18-44, 91-17-95","","","","","г. Саратов, ул. Мичурина, д. 92","https://saratov.postupi.online/vuz/saratovskaya-duhovnaya-seminariya/","2026-07-09T06:48:45.355Z"
"Саратовский государственный медицинский университет имени В.И. Разумовского","Саратовский государственный медицинский университет имени В.И. Разумовского","university","Саратов","Саратов","http://www.sgmu.ru/","admission@sgmu.ru","+7 (8452) 39-33-62, +7 (8452) 39-29-29 (специалитет / бакалавриат)","","","","","г. Саратов, ул. Б. Казачья, д. 112","https://saratov.postupi.online/vuz/saratovskij-gmu/","2026-07-09T06:48:45.355Z"
"Саратовский медицинский университет Реавиз","Саратовский медицинский университет Реавиз","university","Саратов","Саратов","https://pk.reaviz.ru/sar/","priemsar@reaviz.com","8 (800) 600-24-00","","","","","г. Саратов, ул. Верхний рынок, корп. 10","https://saratov.postupi.online/vuz/saratovskij-medicinskij-universitet-reaviz/","2026-07-09T06:48:45.355Z"
"Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","Саратовский государственный университет генетики, биотехнологии и инженерии имени Н.И. Вавилова","university","Саратов","Саратов","https://www.vavilovsar.ru","pk@vavilovsar.ru","+7 (8452) 26-50-78, 67-76-67","","","","","г. Саратов, пр. им. Петра Столыпина, зд. 4, стр. 3","https://saratov.postupi.online/vuz/sgau-im-n-i-vavilova/","2026-07-09T06:48:45.355Z"
"Саратовская государственная консерватория имени Л.В. Собинова","Саратовская государственная консерватория имени Л.В. Собинова","university","Саратов","Саратов","http://sarcons.ru","priem@sarcons.ru","+7 (8452) 39-00-29 (доб. 107)","","","","","г. Саратов, пр. им. Петра Столыпина, д. 1","https://saratov.postupi.online/vuz/sgk-im-l-v-sobinova/","2026-07-09T06:48:45.355Z"
"Саратовский государственный технический университет имени Гагарина Ю.А.","Саратовский государственный технический университет имени Гагарина Ю.А.","university","Саратов","Саратов","http://www.sstu.ru/","cpk@sstu.ru","+7 (8452) 99-86-65, 99-86-66","","","","","г. Саратов, ул. Б. Садовая, д. 127","https://saratov.postupi.online/vuz/sgtu/","2026-07-09T06:48:45.355Z"
"Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского","Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского","university","Саратов","Саратов","http://www.sgu.ru/","cpk@info.sgu.ru","+7 (8452) 51-92-26","","","","","г. Саратов, ул. Астраханская, д. 83","https://saratov.postupi.online/vuz/sgu-imeni-n-g-chernyshevskogo/","2026-07-09T06:48:45.355Z"
"Саратовская государственная юридическая академия","Саратовская государственная юридическая академия","university","Саратов","Саратов","http://сгюа.рф","abitur@ssla.ru","+7 (8452) 29-91-05","","","","","г. Саратов, ул. Чернышевского, д. 104","https://saratov.postupi.online/vuz/sgyua/","2026-07-09T06:48:45.355Z"
