name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Филиал Национального исследовательского университета МЭИ в г. Смоленске","Филиал Национального исследовательского университета МЭИ в г. Смоленске","university","Смоленск","Смоленск","http://www.sbmpei.ru/","otborcom@sbmpei.ru","+7 (4812) 38-37-11; +7 (4812) 39-11-56","","","","","г. Смоленск, Энергетический проезд, д. 1","https://smolensk.postupi.online/vuz/sf-mei/","2026-07-09T06:58:32.401Z"
"Смоленский филиал Международного юридического института","Смоленский филиал Международного юридического института","university","Смоленск","Смоленск","https://lawacademy.ru/smolensk","sm-priem@lawinst.ru","+7 (4812) 38-57-48, +7 (999) 104-45-85, +7 (901) 468-40-48, +7 (958) 100-89-58","","","","","г. Смоленск, ул. Октябрьской Революции, д. 9, к. 1","https://smolensk.postupi.online/vuz/sf-myui/","2026-07-09T06:58:32.401Z"
"Смоленский филиал Российского экономического университета имени Г.В. Плеханова","Смоленский филиал Российского экономического университета имени Г.В. Плеханова","university","Смоленск","Смоленск","https://www.rea.ru/structure/filials/smolensk","smolensk.pk@rea.ru","+7 (4812)38-87-51, +7 (964) 619-15-95, + 7 (964) 619-15-96","","","","","г. Смоленск, ул. Нормандия-Неман д. 21","https://smolensk.postupi.online/vuz/sf-reu-plehanova/","2026-07-09T06:58:32.401Z"
"Смоленский государственный университет спорта","Смоленский государственный университет спорта","university","Смоленск","Смоленск","https://sgus.ru/","priemsgus@mail.ru","+7 (4812) 35-89-79, +7(4812) 30-71-69","","","","","г. Смоленск, пр-т Гагарина, д. 23","https://smolensk.postupi.online/vuz/sgafkst/","2026-07-09T06:58:32.401Z"
"Смоленский государственный институт искусств","Смоленский государственный институт искусств","university","Смоленск","Смоленск","http://www.sgii-smol.ru/","pksgii@yandex.ru","+7 (4812) 31-00-66","","","","","г. Смоленск, ул. Румянцева, д.8","https://smolensk.postupi.online/vuz/sgii/","2026-07-09T06:58:32.401Z"
"Смоленская государственная сельскохозяйственная академия","Смоленская государственная сельскохозяйственная академия","university","Смоленск","Смоленск","https://sgsha.ru/","priem@sgsha.ru","+7 (4812) 38-18-18, +7 (4812) 38-28-10","","","","","г. Смоленск, ул. Большая Советская, д. 10, корп. 2","https://smolensk.postupi.online/vuz/sgsha/","2026-07-09T06:58:32.401Z"
"Смоленский филиал Финансового университета при Правительстве Российской Федерации","Смоленский филиал Финансового университета при Правительстве Российской Федерации","university","Смоленск","Смоленск","https://smolensk.fa.ru/","smolensk@fa.ru","+7 (4812) 35-88-99; +7 (4812) 64-35-55; +7 (915) 650-18-73","","","","","г. Смоленск, проспект Гагарина, д. 22","https://smolensk.postupi.online/vuz/smolenskij-filial-finuniversiteta/","2026-07-09T06:58:32.401Z"
"Смоленский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","Смоленский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","university","Смоленск","Смоленск","https://www.ranepa.ru/filialy/smol/","pk-smol@ranepa.ru","+7 (4812) 24-01-60, +7 (964) 619-95-99","","","","","г. Смоленск, Чуриловский тупик, д. 6/2","https://smolensk.postupi.online/vuz/smolenskij-filial-ranhigs/","2026-07-09T06:58:32.401Z"
"Смоленский государственный медицинский университет","Смоленский государственный медицинский университет","university","Смоленск","Смоленск","http://smolgmu.ru/","priem@smolgmu.ru","+7 (4812) 61-08-47","","","","","г. Смоленск, ул. Крупской, д. 28","https://smolensk.postupi.online/vuz/smolgmu/","2026-07-09T06:58:32.401Z"
"Смоленский государственный университет","Смоленский государственный университет","university","Смоленск","Смоленск","http://www.smolgu.ru/","abiturient@smolgu.ru","+7 (4812) 70-02-25, +7 (4812) 70-02-80","","","","","г. Смоленск, ул. Пржевальского, д. 4","https://smolensk.postupi.online/vuz/smolgu/","2026-07-09T06:58:32.401Z"
