name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Академия Русского балета имени А.Я. Вагановой","Академия Русского балета имени А.Я. Вагановой","university","Санкт-Петербург","Санкт-Петербург","http://www.vaganovaacademy.ru/","priem@vaganovaacademy.ru","+7 (812) 456-07-65 (доб. 224, 207)","","","","","г. Санкт-Петербург, ул. Зодчего Росси, д. 2","https://spb.postupi.online/vuz/akademiya-russkogo-baleta-im-a-ya-vaganovoj/","2026-07-07T00:34:00.161Z"
"Балтийская академия туризма и предпринимательства","Балтийская академия туризма и предпринимательства","university","Санкт-Петербург","Санкт-Петербург","http://batp.ru/","priem@batp.ru","+7 (812) 235-66-47, +7 (931) 999-41-09","","","","","г. Санкт-Петербург, ул. Петрозаводская, д.13, лит. А","https://spb.postupi.online/vuz/batip/","2026-07-07T00:34:00.161Z"
"Балтийский гуманитарный институт","Балтийский гуманитарный институт","university","Санкт-Петербург","Санкт-Петербург","http://bhi.spb.ru/","info.bgi.spb@mail.ru","+7 (812) 647-63-14; +7 (962) 685-64-44","","","","","г. Санкт-Петербург, пр. Стачек, д. 72, лит. А","https://spb.postupi.online/vuz/bgi/","2026-07-07T00:34:00.161Z"
"Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова","Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова","university","Санкт-Петербург","Санкт-Петербург","https://voenmeh.ru/","admission@voenmeh.ru","8 (800) 301-16-04; +7 (812) 495-77-99","","","","","г. Санкт-Петербург, ул. 1-ая Красноармейская, д. 1/21","https://spb.postupi.online/vuz/bgtu-voenmeh-im-ustinova/","2026-07-07T00:34:00.161Z"
"Европейский университет в Санкт-Петербурге","Европейский университет в Санкт-Петербурге","university","Санкт-Петербург","Санкт-Петербург","https://eusp.org/","admissions@eu.spb.ru","+7 (812) 386-76-46","","","","","г. Санкт-Петербург, Гагаринская ул., д. 6/1, лит. А","https://spb.postupi.online/vuz/evropejskij-universitet/","2026-07-07T00:34:00.161Z"
"Вузы Санкт-Петербурга: список университетов и институтов","Вузы Санкт-Петербурга: список университетов и институтов","university","Санкт-Петербург","Санкт-Петербург","","","","","","","","","https://spb.postupi.online/vuz/filial-miep-sankt-peterburg/","2026-07-07T00:34:00.161Z"
"Санкт-Петербургский горный университет императрицы Екатерины II","Санкт-Петербургский горный университет императрицы Екатерины II","university","Санкт-Петербург","Санкт-Петербург","https://priem.spmi.ru/","abitur@spmi.ru","+7 (800) 550-14-34, +7 (812) 328-82-01","","","","","Санкт-Петербург, Васильевский остров, 21-ая линия, д. 2","https://spb.postupi.online/vuz/gornyj-universitet/","2026-07-07T00:34:00.161Z"
"Санкт-Петербургский государственный университет аэрокосмического приборостроения","Санкт-Петербургский государственный университет аэрокосмического приборостроения","university","Санкт-Петербург","Санкт-Петербург","https://priem.guap.ru/","priem@guap.ru","+7 (812) 312-21-07","","","","","г. Санкт-Петербург, ул. Якубовича, д. 26","https://spb.postupi.online/vuz/guap/","2026-07-07T00:34:00.161Z"
"Государственный университет морского и речного флота имени адмирала С.О. Макарова","Государственный университет морского и речного флота имени адмирала С.О. Макарова","university","Санкт-Петербург","Санкт-Петербург","https://gumrf.ru/","pk_byud@gumrf.ru","+7 (812) 748-97-12, +7 (812) 748-97-09, +7 (812) 251-52-37","","","","","г. Санкт-Петербург, ул. Двинская, д. 5/7","https://spb.postupi.online/vuz/gumrf-imeni-admirala-s-o-makarova/","2026-07-07T00:34:00.161Z"
"Санкт-Петербургская академия художеств имени Ильи Репина","Санкт-Петербургская академия художеств имени Ильи Репина","university","Санкт-Петербург","Санкт-Петербург","http://www.artsacademy.ru/","repinpriem@gmail.com","+7 (921) 859-47-04, +7 (812) 323-61-89","","","","","г. Санкт-Петербург, Университетская наб., д. 17","https://spb.postupi.online/vuz/institut-imeni-repina-spb-gaizhsa-im-i-e-repina/","2026-07-07T00:34:00.161Z"
