name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Филиал МИРЭА - Российского технологического университета в г. Ставрополе","Филиал МИРЭА - Российского технологического университета в г. Ставрополе","university","Ставрополь","Ставрополь","http://stavropol.mirea.ru/","stavropol@mirea.ru","+7 (8652)  56-20-66, +7 (8652) 56-45-46","","","","","г. Ставрополь, пр. Кулакова, д. 18","https://stavropol.postupi.online/vuz/filial-rtu-mirea-v-stavropole/","2026-07-09T06:53:40.834Z"
"Ставропольский государственный педагогический институт","Ставропольский государственный педагогический институт","university","Ставрополь","Ставрополь","https://sspi.ru","priem@sspi.ru","+7 (8652) 56-39-70 (доп. 103)","","","","","г. Ставрополь, ул. Ленина, д. 417, лит. А","https://stavropol.postupi.online/vuz/sgpi/","2026-07-09T06:53:40.834Z"
"Северо-Кавказский федеральный университет","Северо-Кавказский федеральный университет","university","Ставрополь","Ставрополь","http://www.ncfu.ru","selcom@ncfu.ru","+7 (8652) 95&#8209;68&#8209;13; 8 (800) 200-64-76","","","","","355017, г. Ставрополь, г. Ставрополь, пл. Ленина, д. 3А","https://stavropol.postupi.online/vuz/skfu/","2026-07-09T06:53:40.834Z"
"Северо-Кавказский социальный институт","Северо-Кавказский социальный институт","university","Ставрополь","Ставрополь","https://sksi.ru/","abitur@sksi.ru","+7 (8652) 94-53-48","","","","","г. Ставрополь, ул. Голенева, д. 59А","https://stavropol.postupi.online/vuz/sksi/","2026-07-09T06:53:40.834Z"
"Ставропольский филиал Московского педагогического государственного университета","Ставропольский филиал Московского педагогического государственного университета","university","Ставрополь","Ставрополь","http://mpgu.su/ob-mpgu/struktura/filialyi/stavropolskiy-filial/","sf.priem@mpgu.su","+7 (8652) 52-16-80, +7 (8652) 52-16-81","","","","","г. Ставрополь, ул. Доваторцев, д. 66, лит. Г","https://stavropol.postupi.online/vuz/stavropolskij-filial-mpgu/","2026-07-09T06:53:40.834Z"
"Ставропольский государственный аграрный университет","Ставропольский государственный аграрный университет","university","Ставрополь","Ставрополь","https://stgau.ru/","priem@stgau.ru","+7 (8652) 315-915,  +7 (800) 300-69-90","","","","","г. Ставрополь, пер. Зоотехнический, д. 12","https://stavropol.postupi.online/vuz/stavropolskij-gau/","2026-07-09T06:53:40.834Z"
"Ставропольский институт кооперации (филиал) Белгородского университета кооперации, экономики и права","Ставропольский институт кооперации (филиал) Белгородского университета кооперации, экономики и права","university","Ставрополь","Ставрополь","https://stavik.ru/","priem@stavik.ru","+7 (8652) 26-56-67","","","","","г. Ставрополь, ул. Голенева, д. 36","https://stavropol.postupi.online/vuz/stavropolskij-institut-kooperacii-bukep/","2026-07-09T06:53:40.834Z"
"Ставропольский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","Ставропольский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","university","Ставрополь","Ставрополь","http://stav.ranepa.ru/","pk-stav.ranepa@yandex.ru","+7 (8652) 37-13-07, +7 (962) 491-01-73","","","","","г. Ставрополь, ул. Лермонтова, д. 189","https://stavropol.postupi.online/vuz/stavropolskyj-filial-ranhigs/","2026-07-09T06:53:40.834Z"
"Ставропольский государственный медицинский университет","Ставропольский государственный медицинский университет","university","Ставрополь","Ставрополь","https://stgmu.ru/","priem@stgmu.ru","+7 (938) 306-01-26, +7 (8652) 35-23-31","","","","","г. Ставрополь, ул. Мира, д. 310","https://stavropol.postupi.online/vuz/stgmu/","2026-07-09T06:53:40.834Z"
"Технологический институт сервиса (филиал) Донского государственного технического университета в г. Ставрополе","Технологический институт сервиса (филиал) Донского государственного технического университета в г. Ставрополе","university","Ставрополь","Ставрополь","http://www.stis.su/","otcom@stis.su","+7 (8652) 39-69-96, 39-69-97","","","","","г. Ставрополь, пр. Кулакова, д. 41/1","https://stavropol.postupi.online/vuz/tis-dgtu/","2026-07-09T06:53:40.834Z"
