name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Башкирская академия государственной службы и управления при Главе Республики Башкортостан","Башкирская академия государственной службы и управления при Главе Республики Башкортостан","university","Уфа","Уфа","https://bagsurb.ru/","pk@bagsurb.ru","+7 (347) 273-72-92, +7 (917) 431-32-93","","","","","г. Уфа, ул. Заки Валиди, д. 40","https://ufa.postupi.online/vuz/bagsu/","2026-07-08T20:38:01.068Z"
"Уфимский университет науки и технологий","Уфимский университет науки и технологий","university","Уфа","Уфа","https://uust.ru/","abiturient@uust.ru","+7 (908) 350-49-84; +7 (347) 229-96-16","","","","","г. Уфа, ул. З. Валиди, д. 32","https://ufa.postupi.online/vuz/bashgu/","2026-07-08T20:38:01.068Z"
"Башкирский государственный аграрный университет","Башкирский государственный аграрный университет","university","Уфа","Уфа","https://www.bsau.ru/","prkombgau@mail.ru","+7 (347) 216-46-42, +7 (937) 340-45-00","","","","","г. Уфа, ул. 50-летия Октября, д. 34","https://ufa.postupi.online/vuz/bashkirskij-gau/","2026-07-08T20:38:01.068Z"
"Башкирский государственный медицинский университет","Башкирский государственный медицинский университет","university","Уфа","Уфа","http://bashgmu.ru","priemka@bashgmu.ru","+7 (347) 222-86-68, +7 (347) 268-02-28","","","","","г. Уфа, ул. Заки Валиди, д. 47","https://ufa.postupi.online/vuz/bgmu/","2026-07-08T20:38:01.068Z"
"Башкирский государственный педагогический университет им. М. Акмуллы","Башкирский государственный педагогический университет им. М. Акмуллы","university","Уфа","Уфа","https://bspu.ru/","pk@bspu.ru","+7 (347) 287-99-99, 8 (800) 787-99-99","","","","","г. Уфа, ул. Октябрьской революции, д. 3а","https://ufa.postupi.online/vuz/bgpu-im-m-akmully/","2026-07-08T20:38:01.068Z"
"Башкирский институт физической культуры (филиал) Уральского государственного университета физической культуры","Башкирский институт физической культуры (филиал) Уральского государственного университета физической культуры","university","Уфа","Уфа","http://www.bifk.ru/","pk-bifk@mail.ru","+7 (347) 273-99-32, +7 (347) 273-02-61","","","","","г. Уфа, ул. Коммунистическая, д. 67","https://ufa.postupi.online/vuz/bifk-uralgufk/","2026-07-08T20:38:01.068Z"
"Башкирский институт социальных технологий (филиал) Академии труда и социальных отношений","Башкирский институт социальных технологий (филиал) Академии труда и социальных отношений","university","Уфа","Уфа","https://ufabist.ru/","priem@ufabist.ru","+7 (347) 216-35-20, +7 (347) 216-31-05","","","","","Республика Башкортостан, г. Уфа, пр. Октября, д. 74, к. 2, лит. А","https://ufa.postupi.online/vuz/bist-atiso/","2026-07-08T20:38:01.068Z"
"Уфимский филиал Финансового университета при Правительстве Российской Федерации","Уфимский филиал Финансового университета при Правительстве Российской Федерации","university","Уфа","Уфа","https://ufa.fa.ru/","ufa@fa.ru","+7 (347) 251-08-35, +7 (347) 251-08-23","","","","","г. Уфа, ул. М. Карима, д. 69/1","https://ufa.postupi.online/vuz/ufimskiy-filial-finansovogo-universiteta/","2026-07-08T20:38:01.068Z"
"Уфимский государственный институт искусств имени Загира Исмагилова","Уфимский государственный институт искусств имени Загира Исмагилова","university","Уфа","Уфа","https://ufaart.ru/","d.allaberdin@mail.ru","+7 (347) 276-19-36","","","","","г. Уфа, ул. Ленина, д. 14","https://ufa.postupi.online/vuz/ugii-im-zagira-ismagilova/","2026-07-08T20:38:01.068Z"
"Уфимский государственный нефтяной технический университет","Уфимский государственный нефтяной технический университет","university","Уфа","Уфа","https://ugntu.ru/","pkugntu@mail.ru","8 (800) 551-45-28; +7 (347) 242-08-59","","","","","г. Уфа, ул. Первомайская, д. 14","https://ufa.postupi.online/vuz/ugntu/","2026-07-08T20:38:01.068Z"
