name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Волгоградская государственная академия физической культуры","Волгоградская государственная академия физической культуры","university","Волгоград","Волгоград","http://www.vgafk.ru","pk@vgafk.ru","+7 (8442) 23-66-80, +7 (8442) 23--31-30","","","","","г. Волгоград, пр-т им. В.И. Ленина, д. 78","https://volgograd.postupi.online/vuz/vgafk/","2026-07-08T20:40:34.573Z"
"Волгоградский государственный институт искусств и культуры","Волгоградский государственный институт искусств и культуры","university","Волгоград","Волгоград","https://vgiik.com/","vgiik-pk@mail.ru","+7 (991) 082-04-41, +7 (8442) 97-15-40 (доб. 207)","","","","","г. Волгоград, ул. Циолковского, д. 4","https://volgograd.postupi.online/vuz/vgiik/","2026-07-08T20:40:34.573Z"
"Волгоградский государственный социально-педагогический университет","Волгоградский государственный социально-педагогический университет","university","Волгоград","Волгоград","http://www.vspu.ru","prcom@vspu.ru","+7 (8442) 60-28-76, +7 (905) 061-64-17","","","","","г. Волгоград, пр. им. В.И. Ленина, д. 27","https://volgograd.postupi.online/vuz/vgspu/","2026-07-08T20:40:34.573Z"
"Волгоградская консерватория (институт) имени П. А. Серебрякова","Волгоградская консерватория (институт) имени П. А. Серебрякова","university","Волгоград","Волгоград","http://new.serebryakovka.ru/","vk_priem@mail.ru","+7 (998) 028-92-92","","","","","г. Волгоград, ул. Мира, д. 5, лит. А","https://volgograd.postupi.online/vuz/vk-serebryakova/","2026-07-08T20:40:34.573Z"
"Волгоградский государственный медицинский университет","Волгоградский государственный медицинский университет","university","Волгоград","Волгоград","http://www.volgmed.ru","priem@volgmed.ru","+7 (8442) 53-23-33","","","","","г. Волгоград, пл. Павших борцов, д. 1","https://volgograd.postupi.online/vuz/volggmu/","2026-07-08T20:40:34.573Z"
"Волгоградский государственный технический университет","Волгоградский государственный технический университет","university","Волгоград","Волгоград","https://www.vstu.ru","prk@vstu.ru","+7 (8442) 23-22-92","","","","","400005, г. Волгоград, пр. Ленина, д. 28","https://volgograd.postupi.online/vuz/volggtuvolg/","2026-07-08T20:40:34.573Z"
"Волгоградский филиал Московского финансово-юридического университета МФЮА","Волгоградский филиал Московского финансово-юридического университета МФЮА","university","Волгоград","Волгоград","https://vg.mfua.ru/","volgograd@mfua.ru","+7 (8442) 62-10-09, +7 (8442) 49-71-32, +7 (8442) 98-96-11","","","","","г. Волгоград, ул. им. Бахтурова, д. 25Г","https://volgograd.postupi.online/vuz/volgogradskij-filial-moskovskogo-finansovo-yuridicheskogo-universiteta-mfyua/","2026-07-08T20:40:34.573Z"
"Волгоградский филиал Российского экономического университета имени Г.В. Плеханова","Волгоградский филиал Российского экономического университета имени Г.В. Плеханова","university","Волгоград","Волгоград","https://volgograd.rea.ru/","volgograd.pk@rea.ru","+7 (8442) 33-17-57, +7 (988) 983-48-58","","","","","г. Волгоград, ул. Волгодонская, д. 11","https://volgograd.postupi.online/vuz/volgogradskij-filial-reu-im-g-v-plehanova/","2026-07-08T20:40:34.573Z"
"Волгоградский государственный аграрный университет","Волгоградский государственный аграрный университет","university","Волгоград","Волгоград","https://volgau.ru/","priem@volgau.ru","+7 (8442) 41-17-78","","","","","г. Волгоград, пр. Университетский, д. 26","https://volgograd.postupi.online/vuz/volgogradskij-gau/","2026-07-08T20:40:34.573Z"
"Волгоградский кооперативный институт (филиал) Российского университета кооперации","Волгоградский кооперативный институт (филиал) Российского университета кооперации","university","Волгоград","Волгоград","http://volgograd.ruc.su/","volgograd@ruc.su","+7 (8442) 41-76-97, +7 (961) 090-52-25","","","","","г. Волгоград, ул. Новосибирская, д. 76","https://volgograd.postupi.online/vuz/volgogradskij-ruk/","2026-07-08T20:40:34.573Z"
"Волгоградский институт управления - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","Волгоградский институт управления - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации","university","Волгоград","Волгоград","https://vlgr.ranepa.ru/","priem-vlgr@ranepa.ru","+7 (8442) 24-17-43","","","","","г. Волгоград, ул. Гагарина, д. 8","https://volgograd.postupi.online/vuz/volgogradskyj-institut-upravlenija-ranhigs/","2026-07-08T20:40:34.573Z"
"Волгоградский государственный университет","Волгоградский государственный университет","university","Волгоград","Волгоград","http://www.volsu.ru","priem@volsu.ru","+7 (8442) 40-55-47","","","","","г. Волгоград, пр. Университетский, д. 100","https://volgograd.postupi.online/vuz/volgu/","2026-07-08T20:40:34.573Z"
