name,full_name,type,city,region,website,admissions_email,phone_main,phone_admissions,vk_url,telegram_url,max_url,address,source_url,parsed_at
"Центральный филиал Российского государственного университета правосудия имени В. М. Лебедева","Центральный филиал Российского государственного университета правосудия имени В. М. Лебедева","university","Воронеж","Воронеж","https://cb.rgup.ru/","priem@cb.rsuj.ru","+7 (473) 276-58-40, +7 (473) 271-54-15","","","","","г. Воронеж, ул. 20-летия Октября, д. 95","https://voronezh.postupi.online/vuz/centralnyj-filial-rgup/","2026-07-08T20:39:39.937Z"
"Международный институт компьютерных технологий","Международный институт компьютерных технологий","university","Воронеж","Воронеж","https://www.iict.ru/","priem-iict@mail.ru","+ 7 (473) 280-20-70, + 7 (473) 280-25-35","","","","","г. Воронеж, ул. Солнечная, д. 29","https://voronezh.postupi.online/vuz/mikt/","2026-07-08T20:39:39.937Z"
"Воронежский государственный институт искусств","Воронежский государственный институт искусств","university","Воронеж","Воронеж","http://voronezharts.ru/","pvgii@bk.ru","+7 (473) 266-84-09, +7 (904) 214-05-29","","","","","г. Воронеж, ул. Генерала Лизюкова, д. 42","https://voronezh.postupi.online/vuz/vgii/","2026-07-08T20:39:39.937Z"
"Воронежский государственный лесотехнический университет имени Г.Ф. Морозова","Воронежский государственный лесотехнический университет имени Г.Ф. Морозова","university","Воронеж","Воронеж","http://vgltu.ru/","prcom@vglta.vrn.ru","+7 (473) 253-71-08","","","","","г. Воронеж, ул. Тимирязева, д. 8","https://voronezh.postupi.online/vuz/vgltu/","2026-07-08T20:39:39.937Z"
"Воронежский государственный медицинский университет им. Н.Н. Бурденко","Воронежский государственный медицинский университет им. Н.Н. Бурденко","university","Воронеж","Воронеж","http://vrngmu.ru","priem@vrngmu.ru","+7 (473) 210-62-82","","","","","г. Воронеж, ул. Студенческая, д. 10","https://voronezh.postupi.online/vuz/vgmu-im-n-n-burdenko/","2026-07-08T20:39:39.937Z"
"Воронежский государственный технический университет","Воронежский государственный технический университет","university","Воронеж","Воронеж","https://cchgeu.ru/","priem@cchgeu.ru","+7 (473) 207-22-19, +7 (473) 207-22-21","","","","","г. Воронеж, ул. 20-летия Октября, д. 84","https://voronezh.postupi.online/vuz/vgtu/","2026-07-08T20:39:39.937Z"
"Воронежский государственный университет","Воронежский государственный университет","university","Воронеж","Воронеж","http://www.vsu.ru","office@main.vsu.ru","+7 (473) 220-75-21","","","","","г. Воронеж, Университетская пл., д. 1","https://voronezh.postupi.online/vuz/vgu/","2026-07-08T20:39:39.937Z"
"Воронежский государственный университет инженерных технологий","Воронежский государственный университет инженерных технологий","university","Воронеж","Воронеж","http://vsuet.ru/","priem@vsuet.ru","+7 (473) 255-42-67, 8 (800) 100-00-24","","","","","г. Воронеж, пр. Революции, д. 19","https://voronezh.postupi.online/vuz/vguit/","2026-07-08T20:39:39.937Z"
"Воронежский институт Федеральной службы исполнения наказаний России","Воронежский институт Федеральной службы исполнения наказаний России","university","Воронеж","Воронеж","https://vi.fsin.gov.ru","priemvifsin@36.fsin.gov.ru","+7 (473) 260-68-32","","","","","г. Воронеж, ул. Иркутская, д. 1, лит. А","https://voronezh.postupi.online/vuz/vi-fsin-rossii/","2026-07-08T20:39:39.937Z"
"Воронежский институт (филиал) Московского гуманитарно-экономического университета","Воронежский институт (филиал) Московского гуманитарно-экономического университета","university","Воронеж","Воронеж","http://vfmgei.ru/","primem@vfmgei.ru","+7 (473) 221-02-87, +7 (903) 651-75-88","","","","","г. Воронеж, Московский пр-т, д. 26","https://voronezh.postupi.online/vuz/vi-mgeu/","2026-07-08T20:39:39.937Z"
"Воронежский институт экономики и социального управления","Воронежский институт экономики и социального управления","university","Воронеж","Воронеж","https://viesm.ru/","viesm@vmail.ru","+7 (473) 255-34-70","","","","","г. Воронеж, ул. Помяловского, д. 27","https://voronezh.postupi.online/vuz/viesu/","2026-07-08T20:39:39.937Z"
"Воронежский институт высоких технологий","Воронежский институт высоких технологий","university","Воронеж","Воронеж","http://vivt.ru/","info@vivt.ru","+7 (473) 202-04-20, 8 (800) 555-60-54","","","","","г. Воронеж, ул. Ленина, д. 73 а","https://voronezh.postupi.online/vuz/vivt/","2026-07-08T20:39:39.937Z"
"Воронежский филиал Государственного университета морского и речного флота имени адмирала С. О. Макарова","Воронежский филиал Государственного университета морского и речного флота имени адмирала С. О. Макарова","university","Воронеж","Воронеж","http://vfgumrf.ru/","vrngumrf@mail.ru","+7 (473) 227-96-36, +7 (473) 227-96-06","","","","","г. Воронеж, Ленинский пр., д. 174л","https://voronezh.postupi.online/vuz/voronezhskij-filial-gosudarstvennogo-universiteta-morskogo-i-rechnogo-flota-imeni-admirala-s-o-makarova/","2026-07-08T20:39:39.937Z"
