code,name,level,group_code,group_name,qualification
"01.05.01","Фундаментальные математика и механика","specialist","01.00.00","МАТЕМАТИКА И МЕХАНИКА","Математик.; Механик.; Преподаватель"
"03.05.01","Астрономия","specialist","03.00.00","ФИЗИКА И АСТРОНОМИЯ","Астроном. Преподаватель"
"03.05.02","Фундаментальная и прикладная физика","specialist","03.00.00","ФИЗИКА И АСТРОНОМИЯ","Физик. Преподаватель"
"04.05.01","Фундаментальная и прикладная химия","specialist","04.00.00","ХИМИЯ","Химик.; Преподаватель химии."
"06.05.01","Биоинженерия и биоинформатика","specialist","06.00.00","БИОЛОГИЧЕСКИЕ НАУКИ","Биоинженер и биоинформатик"
"06.05.02","Фундаментальная и прикладная биология","specialist","06.00.00","БИОЛОГИЧЕСКИЕ НАУКИ","Биолог-исследователь; ИНЖЕНЕРНОЕ ДЕЛО, ТЕХНОЛОГИИ И ТЕХНИЧЕСКИЕ НАУКИ"
"08.05.01","Строительство уникальных зданий и сооружений","specialist","08.00.00","ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА","Инженер-строитель"
"08.05.02","Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей","specialist","08.00.00","ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА","Инженер"
"10.05.01","Компьютерная безопасность","specialist","10.00.00","ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ","Специалист по защите информации"
"10.05.02","Информационная безопасность телекоммуникационных систем","specialist","10.00.00","ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ","Специалист по защите информации"
"10.05.03","Информационная безопасность автоматизированных систем","specialist","10.00.00","ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ","Специалист по защите информации"
"10.05.04","Информационно-аналитические системы безопасности","specialist","10.00.00","ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ","Специалист по защите информации"
"10.05.05","Безопасность информационных технологий в правоохранительной сфере","specialist","10.00.00","ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ","Специалист по защите информации"
"11.05.01","Радиоэлектронные системы и комплексы","specialist","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Инженер"
"11.05.02","Специальные радиотехнические системы","specialist","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Инженер специальных радиотехнических систем"
"12.05.01","Электронные и оптико-электронные приборы и системы специального назначения","specialist","12.00.00","ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ","Инженер"
"14.05.01","Ядерные реакторы и материалы","specialist","14.00.00","ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ","Инженер-физик"
"14.05.02","Атомные станции: проектирование, эксплуатация и инжиниринг","specialist","14.00.00","ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ","Инженер-физик"
"14.05.03","Технологии разделения изотопов и ядерное топливо","specialist","14.00.00","ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ","Инженер-физик"
"15.05.01","Проектирование технологических машин и комплексов","specialist","15.00.00","МАШИНОСТРОЕНИЕ","Инженер"
"16.05.01","Специальные системы жизнеобеспечения","specialist","16.00.00","ФИЗИКО-ТЕХНИЧЕСКИЕ НАУКИ И ТЕХНОЛОГИИ","Инженер по эксплуатации специальных систем жизнеобеспечения"
"17.05.01","Боеприпасы и взрыватели","specialist","17.00.00","ОРУЖИЕ И СИСТЕМЫ ВООРУЖЕНИЯ","Инженер"
"17.05.02","Стрелково-пушечное, артиллерийское и ракетное оружие","specialist","17.00.00","ОРУЖИЕ И СИСТЕМЫ ВООРУЖЕНИЯ","Инженер"
"17.05.03","Проектирование, производство и испытание корабельного вооружения и информационно-управляющих систем","specialist","17.00.00","ОРУЖИЕ И СИСТЕМЫ ВООРУЖЕНИЯ","Инженер"
"18.05.01","Химическая технология энергонасыщенных материалов и изделий","specialist","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ","Инженер"
