code,name,level,group_code,group_name
"01.03.01","Математика","bachelor","01.00.00","МАТЕМАТИКА И МЕХАНИКА"
"01.03.02","Прикладная математика и информатика","bachelor","01.00.00","МАТЕМАТИКА И МЕХАНИКА"
"01.03.03","Механика и математическое моделирование","bachelor","01.00.00","МАТЕМАТИКА И МЕХАНИКА"
"01.03.04","Прикладная математика","bachelor","01.00.00","МАТЕМАТИКА И МЕХАНИКА"
"01.03.05","Статистика","bachelor","01.00.00","МАТЕМАТИКА И МЕХАНИКА"
"02.03.01","Математика и компьютерные науки","bachelor","02.00.00","КОМПЬЮТЕРНЫЕ И ИНФОРМАЦИОННЫЕ НАУКИ"
"02.03.02","Фундаментальная информатика и информационные технологии","bachelor","02.00.00","КОМПЬЮТЕРНЫЕ И ИНФОРМАЦИОННЫЕ НАУКИ"
"02.03.03","Математическое обеспечение и администрирование информационных систем","bachelor","02.00.00","КОМПЬЮТЕРНЫЕ И ИНФОРМАЦИОННЫЕ НАУКИ"
"03.03.01","Прикладные математика и физика","bachelor","03.00.00","ФИЗИКА И АСТРОНОМИЯ"
"03.03.02","Физика","bachelor","03.00.00","ФИЗИКА И АСТРОНОМИЯ"
"03.03.03","Радиофизика","bachelor","03.00.00","ФИЗИКА И АСТРОНОМИЯ"
"04.03.01","Химия","bachelor","04.00.00","ХИМИЯ"
"04.03.02","Химия, физика и механика материалов","bachelor","04.00.00","ХИМИЯ"
"05.03.01","Геология","bachelor","05.00.00","НАУКИ О ЗЕМЛЕ"
"05.03.02","География","bachelor","05.00.00","НАУКИ О ЗЕМЛЕ"
"05.03.03","Картография и геоинформатика","bachelor","05.00.00","НАУКИ О ЗЕМЛЕ"
"05.03.04","Гидрометеорология","bachelor","05.00.00","НАУКИ О ЗЕМЛЕ"
"05.03.05","Прикладная гидрометеорология","bachelor","05.00.00","НАУКИ О ЗЕМЛЕ"
"05.03.06","Экология и природопользование","bachelor","05.00.00","НАУКИ О ЗЕМЛЕ"
"06.03.01","Биология","bachelor","06.00.00","БИОЛОГИЧЕСКИЕ НАУКИ"
"06.03.02","Почвоведение","bachelor","06.00.00","БИОЛОГИЧЕСКИЕ НАУКИ"
"07.03.01","Архитектура","bachelor","07.00.00","АРХИТЕКТУРА"
"07.03.02","Реконструкция и реставрация архитектурного наследия","bachelor","07.00.00","АРХИТЕКТУРА"
"07.03.03","Дизайн архитектурной среды","bachelor","07.00.00","АРХИТЕКТУРА"
"07.03.04","Градостроительство","bachelor","07.00.00","АРХИТЕКТУРА"
"08.03.01","Строительство","bachelor","08.00.00","ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА"
"09.03.01","Информатика и вычислительная техника","bachelor","09.00.00","ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА"
"09.03.02","Информационные системы и технологии","bachelor","09.00.00","ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА"
"09.03.03","Прикладная информатика","bachelor","09.00.00","ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА"
"09.03.04","Программная инженерия","bachelor","09.00.00","ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА"
"10.03.01","Информационная безопасность","bachelor","10.00.00","ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ"
"11.03.01","Радиотехника","bachelor","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ"
"11.03.02","Инфокоммуникационные технологии и системы связи","bachelor","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ"
"11.03.03","Конструирование и технология электронных средств","bachelor","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ"
"11.03.04","Электроника и наноэлектроника","bachelor","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ"
"12.03.01","Приборостроение","bachelor","12.00.00","ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ"
"12.03.02","Оптотехника","bachelor","12.00.00","ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ"
"12.03.03","Фотоника и оптоинформатика","bachelor","12.00.00","ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ"
"12.03.04","Биотехнические системы и технологии","bachelor","12.00.00","ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ"
"12.03.05","Лазерная техника и лазерные технологии","bachelor","12.00.00","ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ"
"13.03.01","Теплоэнергетика и теплотехника","bachelor","13.00.00","ЭЛЕКТРО - И ТЕПЛОЭНЕРГЕТИКА"
"13.03.02","Электроэнергетика и электротехника","bachelor","13.00.00","ЭЛЕКТРО - И ТЕПЛОЭНЕРГЕТИКА"
"13.03.03","Энергетическое машиностроение","bachelor","13.00.00","ЭЛЕКТРО - И ТЕПЛОЭНЕРГЕТИКА"
"14.03.01","Ядерная энергетика и теплофизика","bachelor","14.00.00","ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ"
"14.03.02","Ядерные физика и технологии","bachelor","14.00.00","ЯДЕРНАЯ ЭНЕРГЕТИКА И ТЕХНОЛОГИИ"
"15.03.01","Машиностроение","bachelor","15.00.00","МАШИНОСТРОЕНИЕ"
"15.03.02","Технологические машины и оборудование","bachelor","15.00.00","МАШИНОСТРОЕНИЕ"
"15.03.03","Прикладная механика","bachelor","15.00.00","МАШИНОСТРОЕНИЕ"
"15.03.04","Автоматизация технологических процессов и производств","bachelor","15.00.00","МАШИНОСТРОЕНИЕ"
"15.03.05","Конструкторско-технологическое обеспечение машиностроительных производств","bachelor","15.00.00","МАШИНОСТРОЕНИЕ"
"15.03.06","Мехатроника и робототехника","bachelor","15.00.00","МАШИНОСТРОЕНИЕ"
"16.03.01","Техническая физика","bachelor","16.00.00","ФИЗИКО-ТЕХНИЧЕСКИЕ НАУКИ И ТЕХНОЛОГИИ"
