code,name,level,group_code,group_name,qualification
"05.02.2001","Картография","college","05.00.00","НАУКИ О ЗЕМЛЕ","Техник-картограф Специалист по картографии"
"05.02.2002","Гидрология","college","05.00.00","НАУКИ О ЗЕМЛЕ","Техник-гидролог"
"05.02.2003","Метеорология","college","05.00.00","НАУКИ О ЗЕМЛЕ","Техник-метеоролог"
"07.02.2001","Архитектура","college","07.00.00","АРХИТЕКТУРА","Архитектор"
"08.02.2001","Строительство и эксплуатация зданий и сооружений","college","08.00.00","ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА","Техник; Старший техник"
"08.02.2002","Строительство и эксплуатация инженерных сооружений","college","08.00.00","ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА","Техник; Старший техник"
"08.02.2003","Производство неметаллических строительных изделий и конструкций","college","08.00.00","ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА","Техник; Старший техник"
"08.02.2004","Водоснабжение и водоотведение","college","08.00.00","ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА","Техник; Старший техник"
"08.02.2005","Строительство и эксплуатация автомобильных дорог и аэродромов","college","08.00.00","ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА","Техник; Старший техник"
"08.02.2006","Строительство и эксплуатация городских путей сообщения","college","08.00.00","ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА","Техник; Старший техник"
"08.02.2007","Монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции","college","08.00.00","ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА","Техник; Старший техник"
"08.02.2008","Монтаж и эксплуатация оборудования и систем газоснабжения","college","08.00.00","ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА","Техник; Старший техник"
"08.02.2009","Монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий","college","08.00.00","ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА","Техник; Старший техник"
"08.02.2010","Строительство железных дорог, путь и путевое хозяйство","college","08.00.00","ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА","Техник; Старший техник"
"08.02.2011","Управление, эксплуатация и обслуживание многоквартирного дома","college","08.00.00","ТЕХНИКА И ТЕХНОЛОГИИ СТРОИТЕЛЬСТВА","Техник; Специалист по управлению,; эксплуатации и обслуживанию многоквартирного дома"
"09.02.2001","Компьютерные системы и комплексы","college","09.00.00","ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА","Техник по компьютерным системам; Специалист по компьютерным системам"
"09.02.2002","Компьютерные сети","college","09.00.00","ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА","Техник по компьютерным сетям; Специалист по администрированию сети"
"09.02.2003","Программирование в компьютерных системах","college","09.00.00","ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА","Техник-программист; Программист"
"09.02.2004","Информационные системы (по отраслям)","college","09.00.00","ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА","Техник по информационным системам; Специалист по информационным системам"
"09.02.2005","Прикладная информатика (по отраслям)","college","09.00.00","ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА","Техник-программист; Специалист по прикладной информатике"
"09.02.2006","Сетевое и системное администрирование","college","09.00.00","ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА","Сетевой и системный администратор; Специалист по администрированию сети"
"09.02.2007","Информационные системы и программирование","college","09.00.00","ИНФОРМАТИКА И ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА","Администратор баз данных Специалист по тестированию в области информационных технологий; Программист; Технический писатель; Специалист по информационным системам; Специалист по информационным ресурсам; Разработчик веб и мультимедийных приложений"
"10.02.2001","Организация и технология защиты информации","college","10.00.00","ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ","Техник по защите информации; Старший техник по защите информации"
"10.02.2002","Информационная безопасность телекоммуникационных систем","college","10.00.00","ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ","Техник по защите информации; Старший техник по защите информации"
"10.02.2003","Информационная безопасность автоматизированных систем","college","10.00.00","ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ","Техник по защите информации; Старший техник по защите информации"
"10.02.2004","Обеспечение информационной безопасности телекоммуникационных систем","college","10.00.00","ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ","Техник по защите информации"
"10.02.2005","Обеспечение информационной безопасности автоматизированных систем","college","10.00.00","ИНФОРМАЦИОННАЯ БЕЗОПАСНОСТЬ","Техник по защите информации"
"11.02.2001","Радиоаппаратостроение","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Радиотехник; Специалист по радиоаппаратостроению"
"11.02.2002","Техническое обслуживание и ремонт радиоэлектронной техники (по отраслям)","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Техник; Старший техник"
"11.02.2003","Эксплуатация оборудования радиосвязи и электрорадионавигации судов","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Техник"
"11.02.2004","Радиотехнические комплексы и системы управления космических летательных аппаратов","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Радиотехник; Старший радиотехник"
"11.02.2005","Аудиовизуальная техника","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Техник; Старший техник"
"11.02.2006","Техническая эксплуатация транспортного радиоэлектронного оборудования (по видам транспорта)","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Техник; Старший техник"
"11.02.2007","Радиотехнические информационные системы","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Радиотехник"
"11.02.2008","Средства связи с подвижными объектами","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Техник; Специалист по телекоммуникациям"
"11.02.2009","Многоканальные телекоммуникационные системы","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Техник; Специалист по телекоммуникациям"
"11.02.2010","Радиосвязь, радиовещание и телевидение","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Техник; Специалист по телекоммуникациям"
"11.02.2011","Сети связи и системы коммутации","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Техник; Специалист по телекоммуникациям"
"11.02.2012","Почтовая связь","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Специалист почтовой связи"
"11.02.2013","Твердотельная электроника","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Техник"
"11.02.2014","Электронные приборы и устройства","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Техник; Специалист по электронным приборам и устройствам"
"11.02.2015","Инфокоммуникационные сети и системы связи","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Специалист по обслуживанию телекоммуникаций"
"11.02.2016","Монтаж, техническое обслуживание и ремонт электронных приборов и устройств","college","11.00.00","ЭЛЕКТРОНИКА, РАДИОТЕХНИКА И СИСТЕМЫ СВЯЗИ","Специалист по электронным приборам и устройствам"
"12.02.2001","Авиационные приборы и комплексы","college","12.00.00","ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ","Техник"
"12.02.2002","Утратила силу с 1 сентября 2020 г. - Приказ Минпросвещения России от 3 декабря 2019 г. № 655","college","12.00.00","ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ",""
"12.02.2003","Радиоэлектронные приборные устройства","college","12.00.00","ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ","Техник"
"12.02.2004","Электромеханические приборные устройства","college","12.00.00","ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ","Техник"
"12.02.2005","Оптические и оптико-электронные приборы и системы","college","12.00.00","ФОТОНИКА, ПРИБОРОСТРОЕНИЕ, ОПТИЧЕСКИЕ И БИОТЕХНИЧЕСКИЕ СИСТЕМЫ И ТЕХНОЛОГИИ","Техник"
